t,x,y,z,vx,vy,vz,wx,wy,wz,event
0.000000,-1.170000,0.000000,1.060000,6.000000,0.000000,2.000000,0.000000,120.000000,0.000000,0
0.001000,-1.164002,0.000000,1.061994,5.995851,0.000000,1.988230,0.000000,120.000000,0.000000,0
0.002000,-1.158008,0.000000,1.063976,5.991709,0.000000,1.976471,0.000000,120.000000,0.000000,0
0.003000,-1.152019,0.000000,1.065947,5.987574,0.000000,1.964722,0.000000,120.000000,0.000000,0
0.004000,-1.146033,0.000000,1.067906,5.983446,0.000000,1.952984,0.000000,120.000000,0.000000,0
0.005000,-1.140052,0.000000,1.069853,5.979325,0.000000,1.941257,0.000000,120.000000,0.000000,0
0.006000,-1.134074,0.000000,1.071788,5.975212,0.000000,1.929539,0.000000,120.000000,0.000000,0
0.007000,-1.128101,0.000000,1.073712,5.971105,0.000000,1.917833,0.000000,120.000000,0.000000,0
0.008000,-1.122132,0.000000,1.075624,5.967006,0.000000,1.906136,0.000000,120.000000,0.000000,0
0.009000,-1.116167,0.000000,1.077524,5.962913,0.000000,1.894450,0.000000,120.000000,0.000000,0
0.010000,-1.110206,0.000000,1.079413,5.958827,0.000000,1.882774,0.000000,120.000000,0.000000,0
0.011000,-1.104250,0.000000,1.081290,5.954749,0.000000,1.871109,0.000000,120.000000,0.000000,0
0.012000,-1.098297,0.000000,1.083155,5.950677,0.000000,1.859453,0.000000,120.000000,0.000000,0
0.013000,-1.092348,0.000000,1.085009,5.946612,0.000000,1.847808,0.000000,120.000000,0.000000,0
0.014000,-1.086404,0.000000,1.086851,5.942554,0.000000,1.836173,0.000000,120.000000,0.000000,0
0.015000,-1.080463,0.000000,1.088681,5.938503,0.000000,1.824548,0.000000,120.000000,0.000000,0
0.016000,-1.074527,0.000000,1.090500,5.934458,0.000000,1.812933,0.000000,120.000000,0.000000,0
0.017000,-1.068594,0.000000,1.092307,5.930420,0.000000,1.801329,0.000000,120.000000,0.000000,0
0.018000,-1.062666,0.000000,1.094103,5.926389,0.000000,1.789734,0.000000,120.000000,0.000000,0
0.019000,-1.056741,0.000000,1.095887,5.922365,0.000000,1.778149,0.000000,120.000000,0.000000,0
0.020000,-1.050821,0.000000,1.097659,5.918347,0.000000,1.766575,0.000000,120.000000,0.000000,0
0.021000,-1.044905,0.000000,1.099420,5.914336,0.000000,1.755010,0.000000,120.000000,0.000000,0
0.022000,-1.038992,0.000000,1.101169,5.910332,0.000000,1.743455,0.000000,120.000000,0.000000,0
0.023000,-1.033084,0.000000,1.102907,5.906334,0.000000,1.731910,0.000000,120.000000,0.000000,0
0.024000,-1.027180,0.000000,1.104633,5.902343,0.000000,1.720375,0.000000,120.000000,0.000000,0
0.025000,-1.021279,0.000000,1.106347,5.898359,0.000000,1.708850,0.000000,120.000000,0.000000,0
0.026000,-1.015383,0.000000,1.108050,5.894380,0.000000,1.697334,0.000000,120.000000,0.000000,0
0.027000,-1.009491,0.000000,1.109742,5.890409,0.000000,1.685828,0.000000,120.000000,0.000000,0
0.028000,-1.003602,0.000000,1.111422,5.886444,0.000000,1.674332,0.000000,120.000000,0.000000,0
0.029000,-0.997718,0.000000,1.113091,5.882485,0.000000,1.662846,0.000000,120.000000,0.000000,0
0.030000,-0.991837,0.000000,1.114748,5.878532,0.000000,1.651369,0.000000,120.000000,0.000000,0
0.031000,-0.985961,0.000000,1.116393,5.874586,0.000000,1.639902,0.000000,120.000000,0.000000,0
0.032000,-0.980088,0.000000,1.118028,5.870647,0.000000,1.628445,0.000000,120.000000,0.000000,0
0.033000,-0.974219,0.000000,1.119650,5.866714,0.000000,1.616997,0.000000,120.000000,0.000000,0
0.034000,-0.968355,0.000000,1.121262,5.862787,0.000000,1.605558,0.000000,120.000000,0.000000,0
0.035000,-0.962494,0.000000,1.122861,5.858866,0.000000,1.594130,0.000000,120.000000,0.000000,0
0.036000,-0.956637,0.000000,1.124450,5.854951,0.000000,1.582710,0.000000,120.000000,0.000000,0
0.037000,-0.950784,0.000000,1.126027,5.851043,0.000000,1.571300,0.000000,120.000000,0.000000,0
